Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
A,"Agilent Technologies, Inc.",65.86,67.46,-2.4293956878226455,Capital Goods
AA,Alcoa Corporation,20.15,26.58,-31.910669975186106,Basic Industries
AAC,"AAC Holdings, Inc.",0.75,1.4,-86.66666666666666,Health Care
AAN,"Aaron&#39;s,  Inc.",61.56,42.05,31.692657569850557,Technology
AAP,Advance Auto Parts Inc,143.16,157.46,-9.988823693769218,Consumer Services
AAT,"American Assets Trust, Inc.",45.58,40.17,11.869240895129437,Consumer Services
AB,AllianceBernstein Holding L.P.,27.03,27.32,-1.0728819829818688,Finance
ABB,ABB Ltd,18.05,19.01,-5.318559556786708,Consumer Durables
ABBV,AbbVie Inc.,65.23,92.19,-41.33067606929326,Health Care
ABC,AmerisourceBergen Corporation (Holding Co),88.7,74.4,16.121758737316792,Health Care
ABEV,Ambev S.A.,5.09,3.92,22.98624754420432,Consumer Non-Durables
ABG,Asbury Automotive Group Inc,91.17,66.66,26.883843369529455,Consumer Durables
ABM,ABM Industries Incorporated,39.5,32.11,18.708860759493675,Finance
ABR,Arbor Realty Trust,12.3,10.07,18.13008130081301,Consumer Services
ABT,Abbott Laboratories,83.16,72.33,13.023088023088022,Health Care
AC,"Associated Capital Group, Inc.",35.77,35.23,1.5096449538719772,Finance
ACA,"Arcosa, Inc.",34.39,27.69,19.482407676650187,Capital Goods
ACB,Aurora Cannabis Inc.,6.19,4.96,19.870759289176096,Consumer Durables
ACC,American Campus Communities Inc,46.0,41.39,10.021739130434781,Consumer Services
ACCO,Acco Brands Corporation,9.54,6.78,28.93081761006289,Consumer Durables
ACH,Aluminum Corporation of China Limited,7.31,7.82,-6.976744186046521,Basic Industries
ACM,AECOM,33.44,26.5,20.753588516746408,Consumer Services
ACN,Accenture plc,185.55,141.01,24.004311506332535,Miscellaneous
ACRE,Ares Commercial Real Estate Corporation,14.92,13.04,12.600536193029496,Consumer Services
ADC,Agree Realty Corporation,67.29,59.12,12.141477188289505,Consumer Services
ADM,Archer-Daniels-Midland Company,37.78,40.97,-8.443620963472732,Consumer Non-Durables
ADNT,Adient plc,19.3,15.06,21.968911917098445,Capital Goods
ADS,Alliance Data Systems Corporation,152.13,150.08,1.3475317162952627,Miscellaneous
ADSW,"Advanced Disposal Services, Inc.",32.41,23.94,26.133909287257005,Public Utilities
ADT,ADT Inc.,5.61,6.01,-7.130124777183592,Consumer Services
AEB,Aegon NV,23.75,18.84,20.673684210526318,Finance
AEE,Ameren Corporation,75.05,65.23,13.084610259826773,Public Utilities
AEG,Aegon NV,4.37,4.65,-6.407322654462249,Finance
AEH,Aegon NV,26.12,25.16,3.6753445635528363,Finance
AEL,American Equity Investment Life Holding Company,22.3,27.94,-25.291479820627806,Finance
AEM,Agnico Eagle Mines Limited,56.24,40.4,28.16500711237554,Basic Industries
AEO,"American Eagle Outfitters, Inc.",15.85,19.33,-21.955835962145102,Consumer Services
AEP,"American Electric Power Company, Inc.",88.02,74.74,15.087480118154966,Public Utilities
AER,Aercap Holdings N.V.,51.75,39.6,23.478260869565215,Technology
AES,The AES Corporation,16.32,14.46,11.39705882352941,Basic Industries
AFG,"American Financial Group, Inc.",97.88,90.53,7.509194932570488,Finance
AFGE,"American Financial Group, Inc.",25.81,25.32,1.898488957768301,Finance
AFGH,"American Financial Group, Inc.",26.0,24.44,5.999999999999995,Finance
AFI,"Armstrong Flooring, Inc.",7.27,11.84,-62.861072902338385,Consumer Non-Durables
AFL,Aflac Incorporated,51.36,45.56,11.292834890965727,Finance
AG,First Majestic Silver Corp.,10.02,5.89,41.21756487025948,Basic Industries
AGCO,AGCO Corporation,69.87,55.67,20.323457850293405,Capital Goods
AGI,Alamos Gold Inc.,7.64,3.6,52.879581151832454,Basic Industries
AGM,Federal Agricultural Mortgage Corporation,76.74,60.44,21.240552514985662,Finance
AGN,Allergan plc.,160.63,133.66,16.790138828363318,Health Care
AGO,Assured Guaranty Ltd.,41.91,38.28,8.661417322834636,Finance
AGR,"Avangrid, Inc.",49.22,50.09,-1.7675741568468195,Public Utilities
AGRO,Adecoagro S.A.,6.68,6.96,-4.19161676646707,Consumer Non-Durables
AGS,"PlayAGS, Inc.",17.91,23.0,-28.419877163595757,Consumer Durables
AGX,"Argan, Inc.",38.36,37.84,1.3555787278414912,Basic Industries
AHC,A.H. Belo Corporation,3.45,3.37,2.3188405797101472,Consumer Services
AHH,"Armada Hoffler Properties, Inc.",16.65,14.06,15.555555555555545,Finance
AHT,Ashford Hospitality Trust Inc,2.75,4.0,-45.45454545454545,Consumer Services
AI,Arlington Asset Investment Corp,6.18,7.24,-17.15210355987056,Consumer Services
AIC,Arlington Asset Investment Corp,24.41,22.16,9.217533797623926,Consumer Services
AIG,"American International Group, Inc.",52.81,39.41,25.373982200340855,Finance
AIN,Albany International Corporation,81.47,62.43,23.370565852461027,Basic Industries
AIR,AAR Corp.,39.46,37.34,5.372529143436385,Capital Goods
AIT,"Applied Industrial Technologies, Inc.",55.82,53.94,3.3679684700824124,Consumer Durables
AIV,Apartment Investment and Management Company,48.79,43.88,10.06353761016601,Consumer Services
AIW,Arlington Asset Investment Corp,24.3,23.44,3.539094650205759,Consumer Services
AIZ,"Assurant, Inc.",108.14,89.44,17.292398742371002,Finance
AIZP,"Assurant, Inc.",113.7534,98.16,13.708073780651834,Finance
AJG,Arthur J. Gallagher & Co.,86.45,73.7,14.74840948525159,Finance
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",48.32,35.23,27.09023178807948,Capital Goods
AJX,Great Ajax Corp.,13.69,12.05,11.97954711468224,Consumer Services
AJXA,Great Ajax Corp.,25.5,23.84,6.509803921568628,Consumer Services
AKR,Acadia Realty Trust,26.97,23.76,11.902113459399324,Consumer Services
AKS,AK Steel Holding Corporation,2.68,2.25,16.04477611940299,Basic Industries
AL,Air Lease Corporation,38.36,30.21,21.246089676746607,Technology
ALB,Albemarle Corporation,65.41,77.07,-17.82602048616419,Basic Industries
ALE,"Allete, Inc.",85.0,76.22,10.329411764705885,Public Utilities
ALEX,"Alexander & Baldwin, Inc.",22.91,18.38,19.773024879965085,Consumer Services
ALG,"Alamo Group, Inc.",107.33,77.32,27.96049566756732,Capital Goods
ALK,"Alaska Air Group, Inc.",61.52,60.85,1.0890767230169078,Transportation
ALL,Allstate Corporation (The),101.78,82.63,18.815091373550803,Finance
ALLE,Allegion plc,99.68,79.71,20.0341091492777,Consumer Services
ALLY,Ally Financial Inc.,30.76,22.66,26.33289986996099,Finance
ALSN,"Allison Transmission Holdings, Inc.",43.79,43.91,-0.2740351678465345,Capital Goods
ALV,"Autoliv, Inc.",67.5,70.23,-4.0444444444444505,Capital Goods
ALX,"Alexander&#39;s, Inc.",354.35,304.74,14.000282206857628,Consumer Services
AM,Antero Midstream Corporation,7.91,11.18,-41.340075853350186,Public Utilities
AMC,"AMC Entertainment Holdings, Inc.",11.1,12.28,-10.630630630630629,Consumer Services
AMCR,Amcor plc,10.3,9.3,9.70873786407767,Consumer Durables
AME,"AMTEK, Inc.",84.08,67.7,19.48144624167459,Consumer Durables
AMG,"Affiliated Managers Group, Inc.",78.99,97.44,-23.35738701101406,Finance
AMH,American Homes 4 Rent,23.99,19.85,17.257190496040007,Consumer Services
